"","stateyear","predicted","hbfunds"
"645","tennessee_1959"," 5144194.51",3731331
"646","tennessee_1960"," 5765831.30",6573897
"647","tennessee_1961"," 5401562.88",3397078
"648","tennessee_1962"," 6540078.72",5506751
"649","tennessee_1963"," 6512880.75",9598347
"650","tennessee_1964"," 5969015.31",2009874
"651","texas_1947","  838288.45",1701423
"652","texas_1948"," 8727991.26",13577354
"653","texas_1949"," 7258176.75",1839438
"654","texas_1950"," 9471484.18",10445763
"655","texas_1951"," 4080583.63",2758382
"656","texas_1952"," 4979007.90",6203386
"657","texas_1953"," 2974046.92",1012500
"658","texas_1954"," 2616110.44",2698320
"659","texas_1955"," 4202325.61",4130352
"660","texas_1956"," 8832564.91",7966591
"661","texas_1957"," 8553179.20",8518067
"662","texas_1958","11067156.68",5040075
"663","texas_1959"," 9629836.91",11049388
"664","texas_1960","11079247.84",17963508
"665","texas_1961","10632179.52",5529846
"666","texas_1962","13319287.35",17212085
"667","texas_1963","13461381.28",7775566
"668","texas_1964","12590982.56",15431670
"669","utah_1948","  703380.15",618103
"670","utah_1949","  593121.24",124140
"671","utah_1950","  795118.51",1247765
"672","utah_1952","  432975.16",541251
"673","utah_1953","  261999.77",562910
"674","utah_1954","  226021.49",804304
"675","utah_1955","  364695.96",665843
"676","utah_1956","  812598.66",953331
"677","utah_1957","  802211.20",162792
"678","utah_1958"," 1053291.67",1660624
"679","utah_1959","  905916.91",505158
"680","utah_1960"," 1038152.69",1391450
"681","utah_1961"," 1001091.93",3685077
"682","utah_1962"," 1229187.67",352579
"683","utah_1963"," 1232318.16",189918
"684","utah_1964"," 1104305.42",735161
"685","vermont_1948","  427855.38",818569
"686","vermont_1949","  351340.31",92648
"687","vermont_1950","  459416.98",780106
"688","vermont_1952","  268579.89",84337
"689","vermont_1955","  220377.60",402398
"690","vermont_1956","  459780.76",1189783
"691","vermont_1957","  430284.67",707171
"692","vermont_1958","  543770.54",201585
"693","vermont_1959","  464420.93",1513662
"694","vermont_1960","  516533.65",95550
"695","vermont_1961","  482973.28",524700
"696","vermont_1962","  574795.03",487735
"697","vermont_1963","  559886.45",1527486
"698","vermont_1964","  501609.68",1785556
"699","virginia_1948"," 4280580.31",4566565
"700","virginia_1949"," 3599911.38",5271067
"701","virginia_1950"," 4499472.79",230137
"702","virginia_1951"," 2037751.43",2661777
"703","virginia_1952"," 2442578.81",4869664
"704","virginia_1953"," 1474407.69",339489
"705","virginia_1954"," 1217729.31",14588
"706","virginia_1955"," 1872104.76",2624596
"707","virginia_1956"," 4015299.96",3832141
"708","virginia_1957"," 3922510.66",3578292
"709","virginia_1958"," 5081524.87",7444491
"710","virginia_1959"," 4436801.93",2514764
"711","virginia_1960"," 5093617.60",5641182
"712","virginia_1961"," 4924678.69",3235309
"713","virginia_1962"," 5995511.31",5903559
"714","virginia_1963"," 5997290.91",7916511
"715","virginia_1964"," 5469802.06",4224299
"716","washington_1948"," 1189739.12",451573
"717","washington_1949"," 1150014.64",826854
"718","washington_1950"," 1551772.05",1376956
"719","washington_1951","  676782.16",693260
"720","washington_1952","  828321.42",2284594
"721","washington_1953","  517001.07",612312
"722","washington_1954","  457835.90",1227287
"723","washington_1956"," 1499352.69",3064501
"724","washington_1957"," 1458134.31",1094397
"725","washington_1958"," 1991620.77",2821084
"726","washington_1959"," 1815061.40",1049415
"727","washington_1960"," 2130349.51",2810978
"728","washington_1961"," 2029488.09",2998798
"729","washington_1962"," 2526125.04",2316552
"730","washington_1963"," 2482032.89",4664461
"731","washington_1964"," 2220636.00",1638780
"732","west virginia_1948"," 2812252.91",1325534
"733","west virginia_1949"," 2230574.89",35417
"734","west virginia_1950"," 2839499.39",5046975
"735","west virginia_1951"," 1243894.89",1585219
"736","west virginia_1952"," 1574783.03",1127000
"737","west virginia_1953","  990627.02",2599304
"738","west virginia_1954","  841461.05",142334
"739","west virginia_1955"," 1271299.61",438814
"740","west virginia_1956"," 2663376.69",5689742
"741","west virginia_1957"," 2530036.95",361720
"742","west virginia_1958"," 3175994.93",4233085
"743","west virginia_1959"," 2579539.45",2677974
"744","west virginia_1960"," 2790087.72",2683174
"745","west virginia_1961"," 2576901.27",3236237
"746","west virginia_1962"," 3125637.87",1311576
"747","west virginia_1963"," 3107791.51",1058090
"748","west virginia_1964"," 2816068.80",4207324
"749","wisconsin_1948"," 3125016.16",2472643
"750","wisconsin_1949"," 2556211.55",4015046
"751","wisconsin_1950"," 3183489.39",2842745
"752","wisconsin_1951"," 1372379.10",75160
"753","wisconsin_1952"," 1664883.09",1517613
"754","wisconsin_1953","  998848.60",513577
"755","wisconsin_1954","  856813.56",2662456
"756","wisconsin_1955"," 1324783.17",153773
"757","wisconsin_1956"," 2920814.86",3113296
"758","wisconsin_1957"," 2877120.43",5967609
"759","wisconsin_1958"," 3780005.90",2462120
"760","wisconsin_1959"," 3234309.41",3821789
"761","wisconsin_1960"," 3707907.99",6743080
"762","wisconsin_1961"," 3473582.49",2450524
"763","wisconsin_1962"," 4193408.41",2215052
"764","wisconsin_1963"," 4183182.41",6333092
"765","wisconsin_1964"," 3895116.83",2614963
"766","wyoming_1948","  206047.67",212694
"767","wyoming_1949","  200000.00",150702
"768","wyoming_1950","  200000.00",203359
"769","wyoming_1951","  200000.00",208409
"770","wyoming_1952","  200000.00",461767
"771","wyoming_1954","  200000.00",141614
"772","wyoming_1955","  200000.00",282877
"773","wyoming_1957","  217316.21",951575
"774","wyoming_1958","  291563.60",716949
"775","wyoming_1959","  251235.68",143019
"776","wyoming_1960","  285531.86",245438
"777","wyoming_1961","  265990.65",370795
"778","wyoming_1962","  317712.67",59883
"779","wyoming_1963","  318799.68",251355
"780","wyoming_1964","  294272.09",772696
