"","stateyear","predicted","hbfunds"
"152","idaho_1956","  637942.22",991522
"153","idaho_1957","  658385.73",644183
"154","idaho_1958","  842198.52",720041
"155","idaho_1959","  730027.48",1545671
"156","idaho_1960","  825361.20",689280
"157","idaho_1961","  791570.19",1141283
"158","idaho_1962","  977875.45",1080130
"159","idaho_1963","  963230.33",688845
"160","idaho_1964","  869796.71",1278599
"161","illinois_1947","  465110.94",2427530
"162","illinois_1948"," 4356038.37",2787229
"163","illinois_1949"," 3414545.24",3619582
"164","illinois_1950"," 4075932.15",4837034
"165","illinois_1951"," 1832696.28",2563640
"166","illinois_1952"," 2331003.05",3266870
"167","illinois_1954"," 1350474.89",1408259
"168","illinois_1955"," 2094438.36",3204583
"169","illinois_1956"," 4404168.26",6186450
"170","illinois_1957"," 4188177.58",3808057
"171","illinois_1958"," 5399117.26",6268001
"172","illinois_1959"," 4595897.98",5414206
"173","illinois_1960"," 5311781.03",4563592
"174","illinois_1961"," 5185028.98",3284153
"175","illinois_1962"," 6524027.34",6671113
"176","illinois_1963"," 6449120.95",6197795
"177","illinois_1964"," 6024079.15",5911466
"178","indiana_1947","  309101.15",1381879
"179","indiana_1948"," 3321431.99",3039835
"180","indiana_1949"," 2837290.43",1239206
"181","indiana_1950"," 3604670.96",8565401
"182","indiana_1951"," 1622234.68",2071627
"183","indiana_1956"," 3319497.44",5076241
"184","indiana_1957"," 3212284.24",1713886
"185","indiana_1958"," 4381029.85",5501002
"186","indiana_1959"," 3805155.65",1807494
"187","indiana_1960"," 4482748.45",2645485
"188","indiana_1961"," 4353568.28",3720170
"189","indiana_1962"," 5250181.82",6232010
"190","indiana_1963"," 5210234.67",3800061
"191","indiana_1964"," 4706664.08",8285324
"192","iowa_1948"," 2666739.64",1946617
"193","iowa_1949"," 2124715.52",2708216
"194","iowa_1950"," 2264461.15",2670641
"195","iowa_1951"," 1001393.12",1570066
"196","iowa_1952"," 1134789.11",1095725
"197","iowa_1953","  780932.31",774238
"198","iowa_1954","  660069.59",614423
"199","iowa_1955"," 1110414.71",230942
"200","iowa_1956"," 2301519.60",4946138
"201","iowa_1957"," 2360208.11",1864444
"202","iowa_1958"," 3096678.19",3139336
"203","iowa_1959"," 2751038.87",2617039
"204","iowa_1960"," 2980995.04",1764125
"205","iowa_1961"," 2715421.00",3859997
"206","iowa_1962"," 3315735.66",3974837
"207","iowa_1963"," 3283868.86",2170378
"208","iowa_1964"," 2939527.92",3050647
"209","kansas_1948"," 1828813.83",2076032
"210","kansas_1949"," 1531809.25",895302
"211","kansas_1950"," 1942604.16",2237122
"212","kansas_1951","  852538.44",604707
"213","kansas_1952"," 1056609.15",1673781
"214","kansas_1953","  641667.09",701092
"215","kansas_1955","  817253.45",2631685
"216","kansas_1956"," 1673832.84",1474995
"217","kansas_1957"," 1739482.09",1698329
"218","kansas_1958"," 2323256.70",2168774
"219","kansas_1959"," 2096466.33",2103504
"220","kansas_1960"," 2268400.58",4395897
"221","kansas_1961"," 2104531.76",2294876
"222","kansas_1962"," 2499182.89",3314249
"223","kansas_1963"," 2520256.48",981156
"224","kansas_1964"," 2291266.47",2934995
"225","kentucky_1947","  473715.37",1366795
"226","kentucky_1948"," 4679780.37",5390343
"227","kentucky_1949"," 3875405.80",3489311
"228","kentucky_1950"," 4919575.90",6550155
"229","kentucky_1951"," 2153697.39",757134
"230","kentucky_1952"," 2613116.75",5431038
"231","kentucky_1953"," 1594066.66",477498
"232","kentucky_1954"," 1331196.40",1133424
"233","kentucky_1955"," 1977392.34",891449
"234","kentucky_1956"," 4050961.01",2764370
"235","kentucky_1957"," 3870210.59",13758600
"236","kentucky_1958"," 5017427.86",3526161
"237","kentucky_1959"," 4316031.22",1941705
"238","kentucky_1960"," 4845651.12",3226213
"239","kentucky_1961"," 4540803.07",2302421
"240","kentucky_1962"," 5498498.06",3954085
"241","kentucky_1963"," 5430359.07",2334152
"242","kentucky_1964"," 4903438.67",4849244
"243","louisiana_1948"," 3915716.36",1588098
"244","louisiana_1949"," 3398996.15",7045363
"245","louisiana_1950"," 4415796.57",2518863
"246","louisiana_1951"," 1881794.85",1368296
"247","louisiana_1952"," 2267637.34",2922906
"248","louisiana_1953"," 1392515.55",2954972
"249","louisiana_1954"," 1218498.70",1458000
"250","louisiana_1955"," 1905269.78",2222056
"251","louisiana_1956"," 4042983.62",2363709
"252","louisiana_1957"," 3921187.92",2149987
"253","louisiana_1958"," 5055941.89",7528304
"254","louisiana_1959"," 4281958.21",3769361
"255","louisiana_1960"," 4765863.16",1479495
"256","louisiana_1961"," 4468311.68",6417027
"257","louisiana_1962"," 5570398.59",5470520
"258","louisiana_1963"," 5654209.92",8068613
"259","louisiana_1964"," 5294962.01",2536640
"260","maine_1948","  917102.27",1184618
"261","maine_1949","  801176.93",167474
"262","maine_1950"," 1040830.47",2051535
"263","maine_1952","  615402.88",349661
"264","maine_1953","  395498.44",263787
"265","maine_1954","  346277.74",732000
